,contagem
NAO,4426.0
SAUDE,1921.0
COVID,1803.0
RIO,1505.0
CORONAVIRUS,1422.0
CASOS,1325.0
PANDEMIA,1134.0
FEIRA,876.0
BRASIL,862.0
DIA,852.0
DOENCA,819.0
CONTRA,798.0
ESTADO,768.0
VACINA,749.0
VIRUS,711.0
PAIS,700.0
NOVO,697.0
DENGUE,599.0
CASA,593.0
GOVERNO,590.0
HOSPITAL,552.0
LEIA,550.0
PAULO,522.0
REDES,493.0
MINISTERIO,492.0
SOCIAIS,485.0
NUMERO,485.0
MUNDO,482.0
PRESIDENTE,477.0
MORTES,464.0
PACIENTES,445.0
ACORDO,444.0
FAKE,432.0
CONTA,425.0
CIDADE,413.0
RISCO,396.0
PARTE,386.0
POPULACAO,386.0
USO,375.0
TRABALHO,370.0
SOCIAL,365.0
GENTE,365.0
DADOS,364.0
CRIANCAS,363.0
GRANDE,363.0
SINTOMAS,357.0
MASCARA,356.0
FEDERAL,355.0
TEMPO,355.0
FORMA,355.0
ESTUDO,353.0
MESES,349.0
INTEGRA,349.0
JANEIRO,345.0
BEM,343.0
PUBLICO,343.0
BOLSONARO,340.0
NACIONAL,336.0
MEDIDAS,332.0
CHECAGEM,332.0
GLOBO,324.0
PESSOA,315.0
SECRETARIA,311.0
CAMPANHA,308.0
DOENCAS,307.0
MULHERES,307.0
PERIODO,305.0
PREFEITURA,304.0
PROFISSIONAIS,301.0
MASCARAS,300.0
UNIVERSIDADE,297.0
MEDICO,296.0
TESTES,295.0
SEGURANCA,293.0
HOJE,290.0
ESTADOS,285.0
VIDA,284.0
PESQUISA,283.0
AUMENTO,279.0
ISOLAMENTO,273.0
PAISES,269.0
TRATAMENTO,267.0
GRUPO,265.0
FONT,263.0
FAMILIA,262.0
MENSAGEM,262.0
PASSADO,259.0
SITUACAO,256.0
FEBRE,256.0
REGIAO,254.0
CIRCULA,253.0
SISTEMA,251.0
RELACAO,250.0
REDE,250.0
PX,248.0
MULHER,247.0
HOSPITAIS,247.0
ATENDIMENTO,247.0
MEDICOS,245.0
QUARENTENA,245.0
VOLTA,244.0
AR,240.0
PUBLICA,239.0
MARCO,238.0
OBITOS,237.0
POSSIVEL,237.0
MINISTRO,232.0
AULAS,227.0
PROTECAO,226.0
SERVICO,226.0
ATIVIDADES,225.0
CAUSA,222.0
EVITAR,222.0
ESPECIALISTAS,221.0
LEITOS,220.0
DECISAO,218.0
