,contagem
NAO,952.0
SAUDE,469.0
CASOS,327.0
COVID,268.0
DENGUE,263.0
RIO,242.0
CORONAVIRUS,228.0
PANDEMIA,212.0
VIRUS,178.0
BRASIL,178.0
DOENCA,177.0
DIA,153.0
FEIRA,149.0
CONTRA,130.0
PAIS,127.0
NOVO,127.0
ESTADO,125.0
NUMERO,124.0
FOTO,114.0
GOVERNO,113.0
CASA,110.0
MINISTERIO,108.0
VACINA,106.0
PRESIDENTE,104.0
CONTA,103.0
MENTAL,100.0
AUMENTO,97.0
PACIENTES,96.0
JANEIRO,96.0
ESTUDO,95.0
PAULO,94.0
FEDERAL,94.0
MORTES,91.0
GRANDE,89.0
NACIONAL,88.0
CIDADE,86.0
MASCARA,85.0
ACORDO,85.0
SOCIAL,84.0
TRABALHO,83.0
PERIODO,80.0
PROFISSIONAIS,80.0
BOLSONARO,80.0
PESQUISA,79.0
GLOBO,79.0
MEDIDAS,79.0
POPULACAO,79.0
MUNDO,78.0
TEMPO,78.0
PARTE,77.0
USO,75.0
REGIAO,72.0
FAKE,72.0
PESSOA,72.0
PASSADO,72.0
RISCO,70.0
AGLOMERACAO,69.0
SERVICO,69.0
DADOS,69.0
DOENCAS,69.0
UNIVERSIDADE,68.0
PRAIA,68.0
PROBLEMAS,66.0
PREFEITURA,64.0
CRIANCAS,64.0
SECRETARIA,64.0
FORMA,63.0
SEGURANCA,63.0
ANSIEDADE,63.0
BEM,62.0
MENTAIS,61.0
SISTEMA,61.0
SINTOMAS,61.0
ESTADOS,61.0
PUBLICO,59.0
MUITAS,59.0
MULHERES,59.0
ATENDIMENTO,58.0
VIDA,58.0
MESES,58.0
MEDICOS,57.0
GENTE,57.0
CONSULTA,57.0
MASCARAS,56.0
IMPORTANTE,56.0
ZIKA,55.0
TV,55.0
SITUACAO,55.0
TRANSTORNOS,54.0
MINISTRO,54.0
INFECCAO,53.0
ESPECIALISTAS,53.0
VEJA,53.0
FILHO,53.0
POSSIVEL,53.0
EVITAR,52.0
MUNICIPAL,52.0
AUTORIDADES,52.0
RELACAO,52.0
PUBLICA,51.0
HOJE,51.0
FAMILIA,51.0
CHICUNGUNHA,51.0
EXEMPLO,50.0
UFRJ,50.0
PROBLEMA,49.0
PRAIAS,49.0
PLANO,49.0
MEDICO,49.0
LEIA,48.0
CAUSA,48.0
MUITOS,48.0
DECISAO,48.0
ISOLAMENTO,47.0
POLICIA,47.0
DISTANCIAMENTO,47.0
MOSQUITO,46.0
AEDES,46.0
PNEUMONIA,46.0
EXPLICA,46.0
APESAR,46.0
MARCO,46.0
GRAVE,45.0
REGRAS,45.0
MORTE,45.0
ALGUMAS,44.0
PROTECAO,44.0
VIGILANCIA,44.0
DECLARACAO,44.0
EPIDEMIA,44.0
CONTRIBUINTE,44.0
FATO,44.0
SUL,43.0
MEDICA,42.0
ESCOLA,42.0
OBITOS,41.0
TRATAMENTO,41.0
DEPRESSAO,41.0
HOSPITAL,41.0
PREVENCAO,41.0
DOMINGO,40.0
DISPLAY,40.0
NOITE,40.0
NUNCA,40.0
CONTATO,40.0
SOCIEDADE,40.0
FERIADO,40.0
SOCIAIS,40.0
PRESOS,39.0
PAISES,39.0
ALERTA,39.0
ACESSO,39.0
NUMEROS,39.0
GRANDES,39.0
COMBATE,39.0
EDUCACAO,39.0
TRANSMISSAO,38.0
FRENTE,38.0
LEI,38.0
PROCESSO,38.0
ALTA,38.0
TIVERAM,38.0
AJUDA,38.0
CAMPANHA,38.0
EQUIPES,37.0
MEDO,37.0
ORGANIZACAO,37.0
QUARENTENA,37.0
PX,36.0
ATIVIDADES,36.0
LOCAIS,36.0
TESTES,36.0
PUBLICOS,35.0
AR,35.0
SERVICOS,35.0
EX,35.0
OMS,35.0
CIENTISTAS,35.0
AJUDAR,35.0
GRUPO,35.0
INFORMOU,35.0
BRASILIA,34.0
SABER,34.0
REDES,34.0
ULTIMA,34.0
GRAVES,34.0
SUS,34.0
DESK,33.0
CORPO,33.0
MAE,33.0
ATENCAO,33.0
MOBI,33.0
FINAL,33.0
JAIR,33.0
TAO,33.0
EMPRESAS,33.0
BRASILEIRA,32.0
REDE,32.0
BARES,32.0
INDEPENDENCIA,32.0
CIVIL,32.0
HOMEM,32.0
INSTITUTO,32.0
RESPIRATORIA,32.0
RECEITA,32.0
AND,32.0
CONTROLE,32.0
SAIR,32.0
GOVERNADOR,32.0
MELHOR,32.0
CRISE,32.0
ESTADUAL,31.0
PROGRAMA,31.0
HUMANOS,31.0
EFEITOS,31.0
AGLOMERACOES,31.0
FESTA,31.0
REGISTROU,31.0
NADA,31.0
POLITICA,31.0
JUSTICA,31.0
SAIBA,30.0
PARANA,30.0
TURISTAS,30.0
EQUIPE,30.0
SARS,30.0
VER,30.0
CHINA,30.0
FUTURO,29.0
APOIO,29.0
PESQUISADORES,29.0
VALOR,29.0
ALGO,29.0
TRIBUNAL,29.0
FASE,29.0
FILHOS,29.0
MILITAR,29.0
AGENTES,29.0
MOSTRA,29.0
DIREITOS,29.0
QUESTAO,29.0
SUICIDIO,29.0
QUANTIDADE,29.0
SANITARIAS,29.0
NUMA,29.0
ESCOLAS,29.0
SECRETARIO,29.0
PASSOU,29.0
HOMENS,29.0
HABITANTES,28.0
MENSAGEM,28.0
SERVIDORES,28.0
PODER,28.0
DIFICIL,28.0
MOSQUITOS,28.0
JOVENS,28.0
SOROTIPO,28.0
USAR,28.0
MEDIDA,28.0
SINDROME,28.0
MUNICIPIO,28.0
TOTAL,28.0
MEDIA,28.0
PROFISSIONAL,28.0
PRECISO,28.0
HOSPITAIS,27.0
INFECTADOS,27.0
AEGYPTI,27.0
DEPARTAMENTO,27.0
EMPRESA,27.0
MUNDIAL,27.0
VOLTA,27.0
LINE,27.0
ALGUM,27.0
DOCUMENTO,27.0
COMUM,26.0
LIDAR,26.0
RENDA,26.0
MORADORES,26.0
PROXIMOS,26.0
NECESSIDADE,26.0
DIRETORA,26.0
EUA,26.0
IR,26.0
AMBIENTE,26.0
ESTUDOS,26.0
TANTO,26.0
CONSELHO,26.0
NIVEL,25.0
CENARIO,25.0
CONFIRMADOS,25.0
FISCALIZACAO,25.0
ELEITORAL,25.0
FILHA,25.0
TEXTO,25.0
REGISTRO,25.0
CAPACIDADE,25.0
ESPECIAL,25.0
WITZEL,25.0
BASE,25.0
THE,25.0
ANTERIOR,25.0
AULAS,25.0
MOVIMENTO,25.0
ZONA,25.0
VACINAS,24.0
AGENCIA,24.0
ESTRESSE,24.0
DECRETO,24.0
EVENTO,24.0
EMBORA,24.0
IMPORTANCIA,24.0
ESPACO,24.0
PRECISAM,24.0
TERA,24.0
LEITOS,24.0
CLARO,24.0
PRINCIPAIS,24.0
UNIDOS,24.0
NITEROI,24.0
WIDTH,24.0
POLITICAS,24.0
SP,24.0
PASTA,24.0
BLOCK,24.0
POLICIAIS,24.0
ARTICLE,24.0
APLICATIVO,24.0
ALGUMA,24.0
RESPONSAVEL,24.0
DIFERENTES,23.0
MANHA,23.0
PREOCUPACAO,23.0
MUITA,23.0
VIDEO,23.0
DELAS,23.0
CONSULTAS,23.0
RECEBER,23.0
SURTO,23.0
B,23.0
INSTITUICAO,23.0
IMUNIDADE,23.0
PODERA,23.0
CONTEUDO,23.0
CONTAMINACAO,23.0
PUBLICACAO,23.0
REMEDIOS,23.0
ACOMPANHAMENTO,23.0
SERIE,23.0
REPUBLICA,23.0
INDICA,23.0
UNIDADE,23.0
EQUIPAMENTOS,23.0
CONDICOES,22.0
BOLETIM,22.0
ELEICOES,22.0
EFICACIA,22.0
LUGAR,22.0
PARTIDO,22.0
SITE,22.0
TENHO,22.0
I,22.0
GULLAR,22.0
AMIGOS,22.0
RUAS,22.0
AGUA,22.0
CAPITAL,22.0
RUA,22.0
PSIQUIATRA,22.0
C,22.0
ECONOMIA,22.0
PUBLICAS,22.0
FRANCA,22.0
LADO,22.0
VITIMAS,22.0
SEMANAS,22.0
ENSINO,22.0
DINHEIRO,22.0
BANCO,22.0
PRESIDIOS,22.0
LEVA,22.0
PUBLICADO,22.0
CIRCULACAO,22.0
ACOES,21.0
CHEGAR,21.0
TELEFONE,21.0
MANTER,21.0
TRANSTORNO,21.0
PACIENTE,21.0
ASSUNTO,21.0
CARLOS,21.0
QUADRO,21.0
AQUELES,21.0
INCIDENCIA,21.0
BAIRROS,21.0
CIDADES,21.0
REGISTRADOS,21.0
