,contagem
NAO,167.0
MEDICO,114.0
MEDICOS,83.0
SAUDE,75.0
FOTO,66.0
HOSPITAL,49.0
COVID,47.0
ESTADO,44.0
FEIRA,42.0
GENTE,39.0
CORONAVIRUS,34.0
ATENDIMENTO,34.0
RIO,33.0
DIA,33.0
ACORDO,31.0
TRABALHO,28.0
PACIENTES,28.0
GRANDE,28.0
SECRETARIA,27.0
VEJA,26.0
PROFISSIONAIS,26.0
POLICIA,26.0
CORPO,26.0
PANDEMIA,25.0
TV,24.0
UNIDADE,24.0
PACIENTE,24.0
BOMBEIROS,24.0
CIRURGIA,23.0
FEDERAL,23.0
PUBLICO,23.0
PARTE,21.0
MORTES,21.0
FAMILIA,21.0
MINISTERIO,20.0
TRATAMENTO,19.0
CLINICA,19.0
MEDICINA,18.0
CARNE,18.0
TEMPO,17.0
CACHOEIRA,16.0
REGIAO,16.0
EQUIPE,16.0
DOENCA,16.0
VITIMA,16.0
PAULO,16.0
DANIEL,16.0
PAIS,16.0
CONTA,16.0
USO,16.0
UTI,16.0
CAUSA,16.0
CASOS,15.0
PESSOA,14.0
BEM,14.0
REGIONAL,14.0
NUMERO,14.0
SERVICOS,14.0
INFORMOU,14.0
PROGRAMA,14.0
ACRE,14.0
BUSCAS,14.0
VACINA,13.0
CAMINHAO,13.0
CONSELHO,13.0
CIDADE,13.0
CRIME,13.0
VAGAS,13.0
CORRENTEZA,13.0
CASA,13.0
VIDA,13.0
JOSE,13.0
CARGA,13.0
ASSOCIACAO,12.0
NOTICIAS,12.0
VOLTA,12.0
SITUACAO,12.0
GRUPO,12.0
POPULACAO,12.0
SINTOMAS,12.0
BAIRRO,12.0
PROCESSO,12.0
VETERINARIO,12.0
PUBLICA,12.0
EDITAL,12.0
EMPRESA,11.0
CONTRATACAO,11.0
CONTRA,11.0
REALIZAR,11.0
MUITAS,11.0
SUL,11.0
CIVIL,11.0
PREFEITURA,11.0
EVITAR,11.0
NOVO,11.0
SINDICATO,11.0
FORMA,11.0
TESTES,11.0
NICOLE,10.0
BAHIA,10.0
LEITOS,10.0
HOJE,10.0
REALIZADO,10.0
LEITE,10.0
VASCULAR,10.0
VETERINARIA,10.0
MP,10.0
PRAIA,10.0
CHARLOTTE,10.0
PRESIDENTE,10.0
PROFISSIONAL,10.0
MEDICA,10.0
DIFICIL,10.0
EMPRESARIO,10.0
EXAMES,10.0
PROCEDIMENTO,10.0
FUMACA,10.0
EDUARDO,9.0
SINDROME,9.0
PERNA,9.0
PROCURAR,9.0
SEDE,9.0
PARTICIPAR,9.0
PASSOU,9.0
SANTA,9.0
DF,9.0
EMPRESAS,9.0
CUIDADOS,9.0
MESES,9.0
SERVICO,9.0
PREFEITO,9.0
USAR,9.0
PEDRAS,9.0
INSTITUTO,9.0
PONTE,9.0
MORADORES,9.0
HORA,9.0
ACESSO,9.0
PROTECAO,9.0
JUSTICA,9.0
UBERABA,9.0
NADA,9.0
ACOES,9.0
PROBLEMA,9.0
EXPLICA,9.0
MASCARAS,9.0
DENUNCIA,9.0
MAOS,9.0
SISTEMA,8.0
BRASILEIRA,8.0
ALVARO,8.0
ARQUIVO,8.0
FATO,8.0
SUSPEITO,8.0
TERCEIRO,8.0
VIDEOS,8.0
IR,8.0
JAYME,8.0
CIRURGIAS,8.0
NOITE,8.0
PRONTO,8.0
SANTOS,8.0
BBC,8.0
DESAPARECEU,8.0
BAIXO,8.0
DISCUSSAO,8.0
SP,8.0
CUIDADO,8.0
PESSOAL,8.0
ULTIMA,8.0
BRASIL,8.0
INSS,8.0
LAUDOS,8.0
