,contagem
NAO,488.0
CORONAVIRUS,409.0
FAKE,354.0
LEIA,345.0
COVID,333.0
INTEGRA,333.0
REDES,330.0
CHECAGEM,329.0
SOCIAIS,328.0
CIRCULA,244.0
MASCARA,221.0
PANDEMIA,191.0
MENSAGEM,190.0
VIRUS,156.0
VIDEO,144.0
NOVO,139.0
SAUDE,139.0
MASCARAS,130.0
USO,115.0
BRASIL,108.0
CONTRA,108.0
FOTO,108.0
CASOS,101.0
FEIRA,95.0
PAIS,94.0
PAULO,94.0
ESTADO,87.0
CHINA,85.0
PROTECAO,82.0
DOENCA,78.0
RIO,72.0
VACINA,69.0
MUNDO,65.0
HOMEM,65.0
DIA,60.0
GOVERNO,58.0
MOSTRA,57.0
HOSPITAL,55.0
MEDIDAS,55.0
PACIENTES,55.0
POPULACAO,54.0
INFECCAO,54.0
NUMERO,54.0
PRESIDENTE,53.0
SOCIAL,52.0
LEGENDA,52.0
CASA,52.0
IMAGENS,52.0
MINISTERIO,51.0
ACORDO,51.0
FORMA,51.0
MORTES,50.0
VEJA,50.0
CIDADE,50.0
IMAGEM,50.0
USAR,49.0
SEGURANCA,48.0
CRIANCAS,48.0
ESTADOS,46.0
MUNDIAL,45.0
TRABALHO,42.0
PUBLICO,42.0
MENSAGENS,41.0
MULHER,41.0
ORGANIZACAO,40.0
TEMPO,40.0
ALIMENTOS,39.0
RISCO,39.0
CONTA,39.0
FRANGO,39.0
SINTOMAS,39.0
PESQUISA,38.0
TEXTO,38.0
NACIONAL,38.0
GOVERNADOR,37.0
GRANDE,37.0
OMS,37.0
PAISES,36.0
BOLSONARO,35.0
MEDICO,35.0
PESSOA,35.0
EVITAR,35.0
POSITIVO,34.0
TRANSMISSAO,34.0
DIZEM,33.0
FEDERAL,33.0
AUTORIDADES,33.0
CIENTISTAS,33.0
INFORMACAO,33.0
ESTUDO,32.0
FATO,31.0
PARTE,31.0
REGIAO,31.0
ISOLAMENTO,31.0
CIRCULAM,31.0
EXEMPLO,31.0
TESTES,30.0
TRUMP,30.0
VIDEOS,30.0
MESES,30.0
AR,30.0
EMPRESAS,30.0
AGUA,30.0
JUSTICA,29.0
OBITOS,29.0
GENTE,29.0
FAMILIA,28.0
POSSIVEL,28.0
POLICIA,28.0
QUEDA,27.0
CAUSA,27.0
UNIDOS,27.0
PACIENTE,27.0
DADOS,27.0
DISTANCIAMENTO,27.0
VER,27.0
BEM,27.0
INSS,27.0
LOCAIS,26.0
ALGUMAS,26.0
PUBLICA,26.0
PROFISSIONAIS,26.0
RESULTADO,26.0
FILHO,26.0
INFORMOU,26.0
SITUACAO,26.0
CONTAMINACAO,26.0
EUA,25.0
CONTROLE,25.0
CONTER,25.0
UNIVERSIDADE,25.0
ALCOOL,24.0
PUBLICACAO,24.0
CELULAS,24.0
MORTE,24.0
GRUPO,24.0
MEDICOS,24.0
DIABETES,24.0
REINFECCAO,24.0
VARIAS,24.0
AMBIENTE,23.0
SUL,23.0
TOCANTINS,23.0
TRIBUNAL,23.0
TIVERAM,23.0
CARNE,23.0
CEREBRO,23.0
JANEIRO,23.0
MORTOS,23.0
QUARENTENA,22.0
AUMENTO,22.0
GAS,22.0
SIM,22.0
MOSTRAM,22.0
BRASILEIRO,22.0
INSTITUTO,21.0
SANGUE,21.0
MARCO,21.0
ROSTO,21.0
GEL,21.0
VITIMAS,21.0
NUMEROS,21.0
CRISE,21.0
VENDAS,21.0
CRIANCA,21.0
SP,21.0
ACOMPANHA,21.0
BRASILEIROS,21.0
IMUNIDADE,21.0
ITEM,21.0
SABER,20.0
PAI,20.0
DOENCAS,20.0
HOJE,20.0
NOTICIAS,20.0
CONTAGIO,20.0
GLOBO,20.0
DORIA,20.0
RELACAO,20.0
CORPO,20.0
N,20.0
VIOLENCIA,20.0
COMPARTILHADA,20.0
APESAR,19.0
EVIDENCIAS,19.0
TRABALHADORES,19.0
COLETIVA,19.0
BRASILEIRA,19.0
SECRETARIA,19.0
NIVEL,19.0
BAHIA,19.0
SARS,19.0
VACINAS,19.0
PREVENCAO,19.0
ROSANA,19.0
INFECCOES,19.0
TOTAL,18.0
CONTATO,18.0
PORTA,18.0
MINISTRO,18.0
LADO,18.0
ATENDIMENTO,18.0
RECEBER,18.0
PERIODO,18.0
ELEICOES,18.0
VERDADE,17.0
SEXUAL,17.0
USA,17.0
PRODUTOS,17.0
COMBATE,17.0
EXAME,17.0
OBRIGATORIO,17.0
MANTER,17.0
PROFESSOR,17.0
BOCA,17.0
MEDIDA,17.0
MEDICA,17.0
HUMANOS,17.0
SORVETERIA,17.0
MULHERES,17.0
ESPECIALISTAS,17.0
SANITARIA,17.0
CHINESA,17.0
FUNCIONARIOS,17.0
SERVICOS,17.0
FESTA,17.0
TESTE,17.0
TRATA,17.0
AGENCIAS,16.0
CAMPINAS,16.0
RETOMADA,16.0
EXPLICA,16.0
ORGANISMO,16.0
ALERTA,16.0
CHINES,16.0
SETOR,16.0
COMPARTILHADO,16.0
DIRETOR,16.0
INFECTADOS,16.0
DISSEMINACAO,16.0
NUM,16.0
AMOSTRA,16.0
HOSPITAIS,16.0
TV,16.0
EMBALAGENS,16.0
NARIZ,16.0
FAZENDO,16.0
MERCADO,16.0
ITALIA,16.0
FACIAL,16.0
INTERNACIONAL,16.0
DIFERENTES,16.0
CARBONICO,16.0
AGLOMERACAO,16.0
PASSA,15.0
EVENTO,15.0
IMPORTANTE,15.0
IDENTIFICAR,15.0
CUIDADOS,15.0
GRUPOS,15.0
ESTUDOS,15.0
COV,15.0
RUA,15.0
MELHOR,15.0
PRODUTO,15.0
MUITAS,15.0
SISTEMA,15.0
AUXILIO,15.0
RESPOSTA,15.0
PARQUE,15.0
CAMPANHA,15.0
LEVA,15.0
JOAO,15.0
POLICIAIS,15.0
DIOXIDO,15.0
LIVRO,14.0
VEICULOS,14.0
PARQUES,14.0
MAOS,14.0
CIENTIFICA,14.0
LABORATORIO,14.0
MORREU,14.0
MAE,14.0
HORA,14.0
BASE,14.0
VOLTA,14.0
LEGENDAS,14.0
PUBLICOS,14.0
NUMA,14.0
PREVENIR,14.0
ENTENDER,14.0
OFICIAL,14.0
EQUIPAMENTOS,14.0
IMUNIZACAO,14.0
EMBORA,14.0
AVANCO,14.0
VITIMA,14.0
SAIBA,14.0
