,contagem
NAO,3110.0
COVID,1288.0
SAUDE,1256.0
RIO,1061.0
CORONAVIRUS,1004.0
PANDEMIA,771.0
CASOS,716.0
FEIRA,620.0
BRASIL,606.0
DIA,583.0
VACINA,547.0
CONTRA,541.0
DOENCA,512.0
VIRUS,500.0
LEIA,485.0
NOVO,478.0
PAIS,469.0
REDES,447.0
ESTADO,439.0
SOCIAIS,434.0
FAKE,431.0
GOVERNO,424.0
PRESIDENTE,405.0
CASA,372.0
HOSPITAL,369.0
INTEGRA,348.0
PAULO,347.0
CHECAGEM,338.0
MINISTERIO,333.0
MASCARA,329.0
PACIENTES,328.0
POPULACAO,324.0
NUMERO,324.0
USO,310.0
RISCO,299.0
ACORDO,291.0
MUNDO,291.0
MASCARAS,286.0
TRABALHO,282.0
CIDADE,268.0
ESTUDO,266.0
GRANDE,264.0
PARTE,263.0
CONTA,263.0
NACIONAL,262.0
TEMPO,261.0
MORTES,259.0
BOLSONARO,258.0
CIRCULA,256.0
DENGUE,252.0
FEDERAL,252.0
PUBLICO,251.0
FORMA,244.0
MESES,243.0
SEGURANCA,243.0
GENTE,242.0
SOCIAL,240.0
MENSAGEM,238.0
JANEIRO,232.0
DADOS,231.0
MEDIDAS,226.0
GLOBO,216.0
MEDICO,216.0
BEM,214.0
AUMENTO,212.0
PESSOA,210.0
TESTES,209.0
MEDICOS,209.0
PROFISSIONAIS,209.0
CRIANCAS,207.0
SINTOMAS,205.0
MULHERES,204.0
PREFEITURA,202.0
CAMPANHA,199.0
TRATAMENTO,196.0
HOJE,194.0
UNIVERSIDADE,194.0
MINISTRO,193.0
RELACAO,192.0
PROTECAO,189.0
PESQUISA,187.0
DOENCAS,185.0
VIDA,184.0
FAMILIA,182.0
GRUPO,180.0
SECRETARIA,180.0
SERVICO,179.0
SITUACAO,178.0
ESTADOS,176.0
AR,176.0
REGIAO,176.0
PAISES,175.0
SISTEMA,172.0
POSSIVEL,172.0
ATENDIMENTO,171.0
PUBLICA,168.0
VIDEO,165.0
REDE,164.0
MEDICA,164.0
PASSADO,162.0
ATIVIDADES,162.0
HOSPITAIS,160.0
ISOLAMENTO,159.0
PERIODO,158.0
INFECCAO,157.0
MULHER,155.0
ALGUMAS,154.0
LEITOS,153.0
EXPLICA,152.0
MARCO,151.0
FASE,151.0
CONTATO,149.0
DECISAO,147.0
EVITAR,147.0
VACINAS,147.0
OMS,146.0
INSTITUTO,145.0
VOLTA,145.0
MEDIA,144.0
ULTIMA,143.0
ESPECIALISTAS,143.0
GRIPE,142.0
IMPORTANTE,141.0
QUARENTENA,140.0
OBITOS,140.0
MUNICIPAL,139.0
CRIVELLA,138.0
NUM,137.0
EXEMPLO,137.0
MUNDIAL,135.0
APESAR,132.0
MELHOR,132.0
PACIENTE,132.0
ALTA,132.0
MEDIDA,131.0
MENTAL,130.0
UNIDADES,129.0
NADA,127.0
UNIDADE,126.0
CAUSA,125.0
EQUIPE,125.0
FEBRE,124.0
VER,124.0
CIENTISTAS,123.0
RUA,123.0
POLICIA,122.0
EX,122.0
TEXTO,122.0
ORGANIZACAO,121.0
ESTUDOS,121.0
GRAVE,121.0
INFORMOU,120.0
MUITAS,119.0
ESCOLAS,118.0
VACINACAO,118.0
DISTANCIAMENTO,118.0
AULAS,117.0
FILHO,117.0
TRANSMISSAO,117.0
MOSTRA,117.0
FONT,116.0
GOVERNADOR,115.0
NUMEROS,115.0
NOITE,114.0
PX,114.0
CONTROLE,113.0
SUL,113.0
FATO,112.0
AUTORIDADES,112.0
EUA,112.0
ACESSO,112.0
NUNCA,112.0
SEMANAS,112.0
MORTE,111.0
BRASILEIRA,111.0
SERVICOS,111.0
EMPRESA,111.0
DIRETOR,111.0
LEI,111.0
PREFEITO,110.0
CRISE,109.0
JUSTICA,109.0
FINAL,109.0
COMBATE,109.0
MEDO,108.0
PROCESSO,108.0
ENTREVISTA,107.0
EMERGENCIA,107.0
TESTE,107.0
PROBLEMAS,106.0
EMPRESAS,106.0
NUMA,106.0
FRENTE,105.0
VIGILANCIA,104.0
QUEDA,104.0
CAPACIDADE,104.0
TANTO,103.0
ACOES,103.0
PLANO,103.0
INFLUENZA,102.0
BRASILIA,102.0
PRECISO,102.0
PASSOU,102.0
HOMEM,102.0
GRUPOS,102.0
TRIBUNAL,101.0
CHINA,101.0
TOTAL,100.0
PREVENCAO,100.0
MUITOS,100.0
HORA,100.0
INSS,99.0
LOCAIS,98.0
RETOMADA,98.0
LADO,98.0
ESTADUAL,97.0
CORPO,97.0
ATENCAO,97.0
SARS,97.0
FOTO,96.0
USAR,96.0
DOMINGO,96.0
PODER,96.0
AJUDAR,96.0
ALERTA,95.0
CONTAGIO,95.0
DOR,95.0
ALGUM,95.0
UFRJ,95.0
IMPRENSA,94.0
TAO,93.0
PROBLEMA,93.0
TRANSTORNOS,92.0
AJUDA,92.0
REGRAS,92.0
SOCIEDADE,92.0
SABER,91.0
AGENCIA,91.0
PUBLICOS,90.0
MINUTOS,90.0
SECRETARIO,90.0
ANSIEDADE,89.0
N,89.0
MANTER,89.0
ACAO,89.0
INFORMACAO,89.0
D,89.0
EXAME,89.0
UNIDOS,88.0
POLITICA,88.0
SAIR,88.0
ESTOU,88.0
VEJA,88.0
IMUNIZACAO,88.0
JAIR,87.0
PRAIAS,87.0
AREAS,87.0
ANVISA,87.0
ZONA,87.0
PROJETO,87.0
DOSES,87.0
TIVERAM,86.0
PESQUISADORES,86.0
QUESTAO,86.0
SIM,86.0
TAXA,86.0
AGLOMERACAO,85.0
RECEBER,85.0
IR,85.0
CANCER,85.0
SERIE,84.0
AGUA,84.0
PRINCIPAL,84.0
LUGAR,83.0
DINHEIRO,83.0
RESPOSTA,83.0
CAPITAL,83.0
ALGO,83.0
COV,82.0
PAI,81.0
MUITA,81.0
EQUIPAMENTOS,81.0
DIFERENTES,81.0
EPIDEMIA,81.0
ESCOLA,80.0
EQUIPES,80.0
EFEITOS,80.0
LEVAR,80.0
IMAGEM,80.0
REABERTURA,79.0
PONTO,79.0
RETORNO,79.0
CIENCIA,79.0
DIAGNOSTICO,79.0
MUNICIPIO,79.0
TENHO,79.0
PRECISAM,78.0
