,contagem
NAO,993.0
COVID,443.0
RIO,418.0
CORONAVIRUS,394.0
FAKE,372.0
LEIA,369.0
PANDEMIA,355.0
REDES,349.0
SOCIAIS,346.0
INTEGRA,332.0
CHECAGEM,326.0
SAUDE,308.0
CIRCULA,239.0
DIA,223.0
GOVERNO,210.0
NOVO,201.0
ESTADO,198.0
MENSAGEM,190.0
FEIRA,189.0
BRASIL,181.0
PAIS,173.0
CONTRA,165.0
PRESIDENTE,162.0
CASA,154.0
VACINA,142.0
CASOS,133.0
MASCARA,133.0
PAULO,124.0
CONTA,121.0
MASCARAS,119.0
VIDEO,113.0
QUARENTENA,112.0
CIDADE,111.0
MEDIDAS,111.0
FEDERAL,111.0
USO,111.0
SOCIAL,108.0
VIRUS,100.0
MUNDO,95.0
TEMPO,94.0
SEGURANCA,92.0
PUBLICO,91.0
POPULACAO,90.0
ACORDO,89.0
NUMERO,89.0
TEXTO,88.0
GRUPO,88.0
BEM,86.0
GRANDE,86.0
BOLSONARO,84.0
GLOBO,84.0
MINISTERIO,84.0
PREFEITURA,83.0
NACIONAL,83.0
JANEIRO,82.0
DOENCA,80.0
MINISTRO,80.0
GENTE,79.0
ISOLAMENTO,79.0
MORTES,78.0
FORMA,78.0
TESTES,77.0
PACIENTES,77.0
PARTE,77.0
SERVICO,77.0
GOVERNADOR,76.0
PESQUISA,76.0
EMERGENCIA,76.0
DADOS,74.0
ESTADOS,73.0
ESTUDO,72.0
MARCO,68.0
SITUACAO,67.0
MOSTRA,67.0
EMPRESAS,66.0
FOTO,66.0
CONTATO,66.0
RISCO,66.0
ATENDIMENTO,65.0
AR,62.0
TRABALHO,61.0
PAISES,59.0
VOLTA,59.0
MESES,58.0
HOJE,58.0
PESSOA,57.0
MULHER,56.0
REGIAO,56.0
SERVICOS,56.0
SECRETARIA,56.0
PROTECAO,55.0
EX,55.0
DISTANCIAMENTO,54.0
PERIODO,54.0
EVITAR,54.0
IMAGEM,53.0
NUM,53.0
CRISE,53.0
LEGENDA,53.0
HOSPITAL,53.0
DECLARACAO,53.0
SUL,53.0
EMPRESA,52.0
PLANO,52.0
MENSAGENS,52.0
ATIVIDADES,52.0
VALOR,51.0
FRENTE,50.0
IMAGENS,50.0
ISOLADOS,50.0
FAMILIA,50.0
FASE,48.0
POSSIVEL,48.0
ALGUMAS,48.0
WITZEL,48.0
VIDA,47.0
LADO,47.0
INFORMACAO,47.0
REDE,47.0
INSTITUTO,46.0
ECONOMIA,46.0
CONSULTA,45.0
RECEITA,45.0
INFECCAO,45.0
IR,45.0
POLICIA,45.0
UNIVERSIDADE,45.0
MINUTOS,45.0
DOMINGO,45.0
ESTADUAL,45.0
PUBLICA,45.0
INFORMOU,44.0
INDIOS,44.0
ACESSO,44.0
TEATRO,44.0
CONTRIBUINTE,44.0
AUTORIDADES,43.0
LOCAIS,43.0
MEDIDA,43.0
FUNDACAO,43.0
NUMA,43.0
AULAS,43.0
PUBLICOS,43.0
DIZEM,42.0
MANTER,42.0
CAPITAL,42.0
ESCOLAS,42.0
RETOMADA,42.0
OMS,42.0
FILHO,42.0
PROFISSIONAIS,42.0
NUMEROS,42.0
HOMEM,42.0
DECISAO,42.0
MEDICOS,41.0
CAUSA,41.0
VER,41.0
APESAR,41.0
MEDICO,41.0
DIRECAO,41.0
SISTEMA,40.0
UNIDADES,40.0
MUNICIPAL,40.0
CIENCIA,40.0
UNIDOS,40.0
TRATAMENTO,40.0
SETOR,40.0
PRAIAS,39.0
RELACAO,39.0
RESTAURANTES,39.0
MELHOR,39.0
MUNDIAL,39.0
TRANSMISSAO,39.0
COMBATE,38.0
SINTOMAS,38.0
PROTOCOLOS,38.0
POLITICA,38.0
APOIO,38.0
CINEMAS,38.0
TOTAL,38.0
ESTOU,38.0
ZONA,38.0
RECEBER,38.0
ORGANIZACAO,38.0
FINAL,37.0
TESTE,37.0
REABERTURA,37.0
PROJETO,37.0
IMPORTANTE,37.0
MUITOS,37.0
SANITARIA,37.0
REGRAS,37.0
MEDIA,36.0
PASSADO,36.0
MUNICIPIO,36.0
CAMARA,36.0
RUA,36.0
SITE,36.0
PARQUE,36.0
INTERNET,36.0
INDIGENAS,36.0
DATA,36.0
AUMENTO,36.0
SUSPENSAO,35.0
NADA,35.0
OBITOS,35.0
RENDA,35.0
RJ,35.0
CONTER,35.0
ALTA,35.0
VOLUNTARIOS,35.0
PREVENCAO,35.0
CONTAGIO,35.0
EDUCACAO,34.0
TOSSE,34.0
POVOS,34.0
AGUA,34.0
PROCESSO,34.0
DOCUMENTO,34.0
CAPACIDADE,34.0
PRECISAM,34.0
EQUIPE,34.0
HORA,34.0
