,contagem
NAO,4027.0
COVID,1695.0
SAUDE,1548.0
CORONAVIRUS,1305.0
RIO,1291.0
PANDEMIA,997.0
DIA,895.0
CASOS,890.0
FEIRA,757.0
BRASIL,745.0
DOENCA,695.0
VACINA,680.0
CONTRA,651.0
VIRUS,646.0
NOVO,634.0
HOSPITAL,595.0
ESTADO,580.0
PAIS,556.0
CASA,544.0
PAULO,512.0
LEIA,512.0
FAKE,489.0
GOVERNO,487.0
REDES,478.0
SOCIAIS,477.0
PACIENTES,427.0
PRESIDENTE,410.0
MUNDO,403.0
MASCARA,392.0
MINISTERIO,386.0
ACORDO,382.0
CIDADE,375.0
TRABALHO,365.0
USO,364.0
CONTA,356.0
NUMERO,356.0
INTEGRA,353.0
SINTOMAS,353.0
RISCO,352.0
CHECAGEM,339.0
GENTE,335.0
ESTUDO,324.0
FORMA,322.0
GRANDE,319.0
TEMPO,318.0
CRIANCAS,317.0
PARTE,315.0
MASCARAS,314.0
MORTES,313.0
POPULACAO,311.0
SOCIAL,307.0
JANEIRO,300.0
FEDERAL,296.0
PESSOA,294.0
BEM,293.0
PUBLICO,290.0
MEDICO,289.0
SEGURANCA,288.0
MESES,288.0
PREFEITURA,287.0
MEDIDAS,286.0
NACIONAL,285.0
FAMILIA,280.0
GLOBO,274.0
BOLSONARO,272.0
DADOS,270.0
MULHERES,269.0
TESTES,269.0
DENGUE,268.0
MENSAGEM,265.0
CIRCULA,259.0
ISOLAMENTO,256.0
VIDA,256.0
PROFISSIONAIS,252.0
REDE,244.0
FEBRE,242.0
LEITOS,242.0
UNIVERSIDADE,240.0
HOJE,240.0
MEDICOS,240.0
REGIAO,238.0
PESQUISA,237.0
GRUPO,237.0
MORTE,235.0
FOTO,235.0
ATENDIMENTO,234.0
MULHER,232.0
CAMPANHA,231.0
ESTADOS,230.0
TRATAMENTO,228.0
PERIODO,228.0
DOENCAS,228.0
RELACAO,222.0
SITUACAO,221.0
MORREU,220.0
PUBLICA,219.0
CONTATO,218.0
SECRETARIA,217.0
PROTECAO,217.0
VOLTA,216.0
MARCO,216.0
SERVICO,215.0
AR,212.0
AUMENTO,212.0
QUARENTENA,212.0
POSSIVEL,211.0
CAUSA,210.0
SISTEMA,207.0
PAISES,205.0
HOSPITAIS,201.0
ATIVIDADES,200.0
PASSADO,197.0
VIDEO,195.0
ESPECIALISTAS,195.0
IMPORTANTE,194.0
EXPLICA,194.0
EVITAR,190.0
INSTITUTO,189.0
MINISTRO,188.0
OMS,187.0
EXEMPLO,186.0
MELHOR,185.0
MEDICA,185.0
UNIDADE,185.0
PACIENTE,184.0
VACINAS,184.0
GRAVE,182.0
MUNICIPAL,182.0
MUNDIAL,180.0
OBITOS,179.0
FILHO,177.0
ORGANIZACAO,173.0
MUITAS,172.0
INFECCAO,172.0
VER,171.0
DECISAO,170.0
ESCOLAS,170.0
AULAS,169.0
ULTIMA,168.0
APESAR,168.0
ALGUMAS,167.0
NUM,167.0
CHINA,166.0
TRANSMISSAO,166.0
RUA,165.0
UNIDADES,165.0
ALTA,162.0
INFORMOU,161.0
FASE,156.0
MENTAL,154.0
PRECISO,152.0
MUITOS,149.0
GOVERNADOR,148.0
MEDIDA,147.0
DEPRESSAO,147.0
EQUIPE,146.0
ACESSO,146.0
ESTUDOS,146.0
CIENTISTAS,146.0
SERVICOS,146.0
DOR,145.0
NOITE,145.0
POLICIA,144.0
DISTANCIAMENTO,142.0
MEDIA,142.0
PROCESSO,142.0
MOSTRA,141.0
VIGILANCIA,141.0
AUTORIDADES,141.0
HOMEM,140.0
ENTRADA,140.0
NUMA,140.0
PROJETO,140.0
CRISE,139.0
INFLUENZA,139.0
GRIPE,139.0
FATO,139.0
PAI,139.0
NUNCA,138.0
PREFEITO,138.0
ESTADUAL,137.0
SUL,137.0
CONTROLE,136.0
POSITIVO,136.0
PROBLEMAS,136.0
CRIVELLA,136.0
TAO,135.0
TOTAL,135.0
JUSTICA,135.0
ALERTA,134.0
CORPO,134.0
DIRETOR,134.0
ATENCAO,133.0
PREVENCAO,133.0
