,contagem
NUMEROS,133.0
LEI,132.0
TANTO,132.0
CAPACIDADE,132.0
EMPRESAS,132.0
UTI,132.0
DOMINGO,131.0
EUA,130.0
TEXTO,130.0
EX,129.0
TESTE,129.0
ESCOLA,128.0
MUNICIPIO,127.0
NADA,127.0
HORA,127.0
VEJA,127.0
VACINACAO,127.0
QUEDA,127.0
COMBATE,126.0
FRENTE,126.0
EDUCACAO,126.0
SIM,126.0
SEMANAS,125.0
PROBLEMA,125.0
MAE,124.0
BRASILEIRA,124.0
TECNICA,123.0
ANSIEDADE,122.0
PLANO,122.0
SECRETARIO,122.0
EMPRESA,121.0
UNIDOS,121.0
PASSOU,120.0
ESTOU,120.0
AJUDA,120.0
TAXA,119.0
PODER,119.0
REGRAS,119.0
LADO,118.0
VITIMA,117.0
CRIANCA,117.0
MANTER,117.0
TIVERAM,117.0
POLITICA,117.0
BRASILEIRO,117.0
MUITA,116.0
DIREITOS,116.0
EXAME,116.0
REABERTURA,116.0
INFORMACAO,116.0
USAR,116.0
GRUPOS,115.0
DIFERENTES,115.0
SOCIEDADE,115.0
FINAL,115.0
SANTA,114.0
AJUDAR,114.0
CONTAGIO,114.0
QUADRO,113.0
PESSOAL,113.0
ENTREVISTA,113.0
EFEITOS,112.0
SERIE,112.0
ALGUM,112.0
LUGAR,111.0
LOCAIS,110.0
RETOMADA,110.0
JAIR,110.0
SABER,110.0
AGUA,110.0
AGENCIA,110.0
VOLTAR,109.0
PROGRAMA,109.0
ALGO,109.0
SARS,108.0
PUBLICOS,108.0
AMBIENTE,108.0
BRASILIA,107.0
RESULTADO,107.0
VITIMAS,107.0
ZONA,106.0
D,106.0
IR,106.0
MEDO,106.0
MANHA,104.0
CAPITAL,104.0
DOCUMENTO,104.0
MINAS,104.0
RETORNO,104.0
FILHOS,104.0
IMPRENSA,104.0
ALUNOS,103.0
PX,103.0
EXISTE,103.0
DIAGNOSTICO,103.0
APOIO,103.0
LEVAR,102.0
PRINCIPAL,102.0
ACOES,102.0
ACAO,102.0
GRAVES,101.0
INFECTADOS,101.0
VIOLENCIA,101.0
SAIR,101.0
EMBORA,101.0
OXFORD,100.0
TENHO,100.0
FUI,100.0
AGLOMERACAO,100.0
PROFISSIONAL,99.0
TRIBUNAL,99.0
ALGUMA,99.0
PRODUCAO,99.0
RECEBER,99.0
BRASILEIROS,98.0
PRAIAS,98.0
RESPOSTA,98.0
DIFICIL,98.0
PROTOCOLOS,98.0
HISTORIA,98.0
DOSES,98.0
PESQUISADORES,98.0
RISCOS,97.0
PRECISAM,97.0
COISA,97.0
FUNCIONARIOS,96.0
TRANSTORNOS,96.0
ALCOOL,96.0
ENTRAR,96.0
N,96.0
AMIGOS,95.0
BASE,95.0
INSS,95.0
MINUTOS,94.0
VOU,93.0
NECESSIDADE,93.0
LINE,93.0
AREAS,93.0
INTERNADO,93.0
PNEUMONIA,93.0
ENSINO,93.0
MERCADO,92.0
ESPECIAL,92.0
PUBLICACAO,92.0
PROPRIA,92.0
LABORATORIO,92.0
GRANDES,92.0
HUMANOS,91.0
EQUIPAMENTOS,91.0
PRINCIPAIS,91.0
QUESTAO,91.0
EXAMES,90.0
CONDICOES,90.0
FAZENDO,90.0
PARQUE,90.0
PASTA,90.0
CUIDADOS,90.0
MEDICINA,90.0
UFRJ,90.0
MOVIMENTO,90.0
JOAO,89.0
PROFESSOR,89.0
MAOS,89.0
SANTOS,89.0
CLARO,89.0
EDUARDO,89.0
EFICACIA,88.0
QUANTIDADE,88.0
SUSPENSAO,88.0
VARIAS,88.0
CHEGAR,87.0
SITE,87.0
NENHUMA,87.0
RESPONSAVEL,87.0
ENTENDA,87.0
CABECA,87.0
WITZEL,87.0
SANITARIA,87.0
CONTAMINACAO,87.0
EPIDEMIA,87.0
JOVENS,87.0
OFICIAL,87.0
MAL,86.0
FIOCRUZ,86.0
MUDANCA,86.0
HOMENS,86.0
TRABALHAR,85.0
EVENTO,85.0
IMAGEM,85.0
PROPRIO,84.0
DIZEM,84.0
CIENCIA,84.0
EQUIPES,84.0
DEMAIS,84.0
CIDADES,83.0
ALIMENTOS,83.0
POLICIAIS,83.0
ESPACO,83.0
INDIGENAS,83.0
MAIORES,83.0
SETOR,83.0
TOSSE,83.0
MANEIRA,83.0
IDADE,83.0
OBJETIVO,82.0
LONGO,82.0
ROTINA,82.0
NOME,82.0
CONFIRMADOS,82.0
COMUM,82.0
DINHEIRO,82.0
ATLETAS,82.0
MENOR,82.0
PREVISAO,81.0
IDOSOS,81.0
AGENTES,81.0
IMUNIZACAO,81.0
FUNDACAO,81.0
BARES,81.0
FUNCIONAMENTO,81.0
CHEFE,80.0
DESENVOLVIMENTO,80.0
MARIA,80.0
ANALISE,80.0
PEDIDO,80.0
MUNICIPIOS,80.0
IMPACTO,80.0
STF,80.0
VEICULOS,80.0
DISPLAY,80.0
RESPIRATORIA,79.0
REGISTRO,79.0
PONTO,79.0
TV,79.0
DELAS,79.0
SAIBA,79.0
COV,79.0
DIRECAO,79.0
THE,79.0
ASSOCIACAO,79.0
INFECCOES,79.0
MENTAIS,79.0
SINDROME,79.0
PROFESSORA,79.0
PAPEL,78.0
RJ,78.0
VOLUNTARIOS,78.0
IMUNIDADE,78.0
VALOR,78.0
FUTURO,78.0
IMAGENS,78.0
PRAZO,77.0
REVISTA,77.0
FONT,77.0
DIREITO,77.0
DECRETO,76.0
DESK,76.0
ESPECIALISTA,76.0
MOBI,76.0
APRESENTAR,76.0
BELO,76.0
TOMAR,76.0
RECEBEU,76.0
ANTERIOR,76.0
INTERNACIONAL,76.0
VISTA,75.0
GERAIS,75.0
REALIZADO,75.0
POS,75.0
TEATRO,75.0
CONSELHO,75.0
GESTAO,75.0
MENSAGENS,75.0
C,75.0
IDEIA,75.0
DIFERENTE,75.0
MORTOS,74.0
COMITE,74.0
REPORTAGEM,74.0
RELATORIO,74.0
MIM,74.0
LUIZ,74.0
AGLOMERACOES,74.0
FAMILIARES,74.0
TWITTER,74.0
RAZAO,74.0
DEFESA,74.0
COLETIVA,74.0
INTERNET,73.0
PREOCUPACAO,73.0
FUTEBOL,73.0
ASTRAZENECA,73.0
PUBLICADO,73.0
COMUNICADO,72.0
FILME,72.0
COISAS,72.0
YORK,72.0
PRATICA,72.0
PORTA,72.0
INCLUINDO,72.0
CRUZ,72.0
CENARIO,72.0
TRANSPORTE,72.0
PRESENCIAIS,72.0
ANVISA,71.0
INVESTIGACAO,71.0
ECONOMIA,71.0
VERDADE,71.0
DECLARACAO,71.0
VOLTOU,71.0
CONTINUA,71.0
ESTABELECIMENTOS,71.0
ENTENDER,71.0
PAGAMENTO,71.0
ANTICORPOS,71.0
SEGUIR,70.0
PAZUELLO,70.0
CONTER,70.0
AVALIACAO,70.0
PASSADA,70.0
RUAS,70.0
CONTOU,70.0
EPOCA,70.0
ON,70.0
SOU,70.0
PARCERIA,70.0
RESTAURANTES,69.0
EVENTOS,69.0
RESULTADOS,69.0
M,69.0
PSICOLOGIA,69.0
S,69.0
ALTO,69.0
TERA,69.0
GARANTIR,69.0
INTERNACAO,69.0
MATERIAL,69.0
ACHO,69.0
REDUCAO,69.0
CINEMA,69.0
CAMARA,68.0
ONDA,68.0
CAMPO,68.0
FAZEM,68.0
SENTIDO,68.0
B,68.0
MEUS,68.0
BAIRROS,68.0
HORIZONTE,68.0
FILHA,68.0
ATRAS,68.0
CLINICOS,67.0
ESPACOS,67.0
EXISTEM,67.0
TEMPOS,67.0
TECNOLOGIA,67.0
FERNANDO,67.0
DISTANCIA,67.0
FUNDAMENTAL,67.0
MORADORES,67.0
SURTO,67.0
ONTEM,67.0
GEL,67.0
PRESENCA,66.0
RESSALTA,66.0
SANITARIAS,66.0
VARIOS,66.0
ORIENTACAO,66.0
TEMPERATURA,65.0
MUSICA,65.0
LIVRE,65.0
DESSES,65.0
SUPERIOR,65.0
DATA,65.0
VALE,65.0
REGIOES,65.0
FORTE,65.0
VIA,64.0
PSIQUIATRA,64.0
FISICA,64.0
VIAGEM,64.0
FISCALIZACAO,64.0
ESPERA,64.0
JOVEM,64.0
CEREBRO,64.0
FORCA,64.0
AMERICANA,64.0
ENFERMAGEM,64.0
TRATA,63.0
CRIME,63.0
NITEROI,63.0
ATIVIDADE,63.0
ISOLADOS,63.0
ADOLESCENTES,63.0
ATENDER,63.0
PODEMOS,63.0
HORARIO,63.0
RENDA,63.0
HEMORRAGICA,63.0
PODERA,63.0
LISTA,63.0
RECEBERAM,63.0
MG,62.0
LIVRO,62.0
DIRETORA,62.0
INFECTOLOGISTA,62.0
DOM,62.0
MARCELO,62.0
PEDRO,62.0
REALIZACAO,62.0
CONSULTA,62.0
AGENCIAS,62.0
EFEITO,62.0
JOSE,62.0
EMERGENCIA,62.0
REGISTROU,62.0
CIVIL,62.0
ACOMPANHAMENTO,62.0
ECONOMICA,61.0
IMPORTANCIA,61.0
HABITANTES,61.0
DESTACA,61.0
FECHADOS,61.0
OESTE,61.0
ASSESSORIA,61.0
PRECISAMOS,61.0
PROTEGER,61.0
LINHA,61.0
REGISTRADOS,61.0
LEGENDA,61.0
VIRTUAL,61.0
ACONTECE,61.0
ADULTOS,60.0
DEPARTAMENTO,60.0
OCUPACAO,60.0
AMARELA,60.0
PRIMEIROS,60.0
REACAO,60.0
TRABALHADORES,60.0
DIFICULDADE,60.0
ALGUEM,60.0
BOLETIM,60.0
METADE,60.0
IDENTIFICAR,60.0
PUBLICAS,60.0
LEVANTAMENTO,60.0
INDICA,60.0
CUIDADO,60.0
PROXIMOS,60.0
CANCER,60.0
APLICATIVO,60.0
CLIENTES,60.0
PROCEDIMENTO,60.0
EVIDENCIAS,59.0
CAUSAR,59.0
DEIXA,59.0
BAIXA,59.0
BARRA,59.0
ESCREVEU,59.0
FLAMENGO,59.0
COMUNIDADE,59.0
MORRERAM,59.0
CLINICA,59.0
REFERENCIA,59.0
REINO,59.0
BAHIA,59.0
NOSSOS,59.0
ORIENTACOES,59.0
ORGAO,59.0
COSTA,59.0
ULTIMAS,59.0
NORMAL,59.0
COMISSAO,58.0
BAIRRO,58.0
PRESOS,58.0
LOS,58.0
PROFESSORES,58.0
FATORES,58.0
CELULAS,58.0
CENTROS,58.0
PESQUISAS,58.0
DISSEMINACAO,58.0
COMPRAR,58.0
OLIVEIRA,58.0
PASSA,58.0
INSTAGRAM,58.0
PARECE,58.0
X,58.0
SUS,57.0
RECURSOS,57.0
REDUZIR,57.0
LEVA,57.0
NIVEL,57.0
FECHADO,57.0
CIRCULACAO,57.0
CHEGA,57.0
INTERNADA,57.0
CARRO,57.0
CONSEGUIR,57.0
DECORRENCIA,57.0
SUSPEITA,56.0
SILVA,56.0
ABERTO,56.0
ARTIGO,56.0
TEMA,56.0
AQUELES,56.0
UNIDO,56.0
TRATAR,56.0
CARLOS,56.0
JOGO,56.0
POLITICAS,56.0
REABRIR,56.0
REUNIAO,56.0
PORTARIA,56.0
ANTERIORES,55.0
AMERICA,55.0
PARANA,55.0
COMUNICACAO,55.0
COMPARTILHADA,55.0
USUARIOS,55.0
COMPORTAMENTO,55.0
LUTA,55.0
DETERMINA,55.0
BAIXO,55.0
ARQUIVO,55.0
CHAMADO,55.0
CONTRATO,55.0
COMUNS,55.0
AVANCO,55.0
INSTITUICOES,55.0
FRANCA,55.0
RECENTE,55.0
SP,55.0
CORACAO,55.0
COLEGAS,55.0
FUNDO,55.0
INTERIOR,55.0
RESPEITO,55.0
OBRIGATORIO,54.0
CONSIDERADO,54.0
POVOS,54.0
TERAPIA,54.0
LUGARES,54.0
FIZERAM,54.0
ROBERTO,54.0
CIENTIFICA,54.0
DEIXOU,54.0
SEXUAL,54.0
SANGUE,54.0
SEGUINTE,54.0
TRUMP,54.0
DIVERSAS,54.0
DIVULGADO,54.0
FESTA,54.0
PERDA,54.0
NOSSAS,53.0
CARGO,53.0
COMECAR,53.0
ESTRESSE,53.0
MOSTROU,53.0
REALMENTE,53.0
ROSTO,53.0
ITEM,53.0
QUEIROZ,53.0
ZIKA,53.0
COMECO,53.0
BUSCA,53.0
PARTIDO,53.0
FLUMINENSE,53.0
MILHARES,53.0
FUNCAO,53.0
PIOR,53.0
RECOMENDACAO,53.0
PREVE,53.0
BUSCAR,53.0
WHATSAPP,52.0
PROXIMA,52.0
POUCOS,52.0
PROPOSTA,52.0
PRAIA,52.0
BOCA,52.0
UNICO,52.0
JOGOS,52.0
TENDENCIA,52.0
LIDAR,52.0
REALIZAR,52.0
CARIOCA,52.0
MOTIVO,52.0
COMPLETA,52.0
RESPONSABILIDADE,52.0
ASSUNTO,52.0
MARIDO,52.0
ELEICOES,51.0
MAO,51.0
CASAS,51.0
VE,51.0
SAB,51.0
CONTRATOS,51.0
FOCO,51.0
OPERACAO,51.0
DISPONIVEL,51.0
CONTRARIO,51.0
PODERAO,51.0
CHAMADA,51.0
DESAFIO,51.0
TELEFONE,51.0
TRANSTORNO,51.0
VIDAS,51.0
TIJUCA,51.0
INDIOS,51.0
TENHAM,51.0
MEDICAMENTOS,51.0
CONHECIDO,51.0
PRESSAO,51.0
DIFERENCA,51.0
ACONTECER,51.0
ATUALMENTE,51.0
INDIGENA,50.0
ARTE,50.0
AMERICANO,50.0
PARTICULARES,50.0
GUERRA,50.0
REAL,50.0
TIVE,50.0
SOUZA,50.0
CAMINHO,50.0
TECNICO,50.0
POSTOS,50.0
COMPRA,50.0
INTERINO,50.0
SEI,50.0
FILA,50.0
T,49.0
EXPERIENCIA,49.0
JORNAL,49.0
PARTICULAR,49.0
TROCA,49.0
DIABETES,49.0
CONFIRA,49.0
VENDA,49.0
AUMENTAR,49.0
ADVOGADO,49.0
LEMBRA,49.0
REALIDADE,49.0
BANHO,49.0
MORRER,49.0
NOTICIAS,49.0
INTERNADOS,49.0
AFIRMAM,49.0
UNIAO,49.0
CHICUNGUNHA,49.0
DEPUTADO,48.0
ARTICLE,48.0
PRESO,48.0
CASAL,48.0
REPUBLICA,48.0
SAIDA,48.0
DIARIO,48.0
SERVIDORES,48.0
NOTICIA,48.0
BLOCK,48.0
SUPREMO,48.0
WIDTH,48.0
COMERCIO,48.0
DISPONIVEIS,48.0
HEIGHT,48.0
FACA,48.0
RECEITA,48.0
GUARDA,48.0
SINAIS,48.0
ESTRATEGIA,48.0
PLANOS,48.0
POLITICO,48.0
UNICA,48.0
MUDANCAS,48.0
RECOMENDACOES,48.0
MENINA,48.0
VIRAL,48.0
QUALIDADE,48.0
BUTANTAN,48.0
MODELO,48.0
HAVER,48.0
MOMENTOS,48.0
VOZ,48.0
VISITANTES,48.0
FOTOS,47.0
PRODUTOS,47.0
CONTINUAR,47.0
PARTIDA,47.0
CUMPRIMENTO,47.0
PRESENCIAL,47.0
CHINESA,47.0
NATURAL,47.0
COLOCAR,47.0
ESPECIALMENTE,47.0
RUSSIA,47.0
LEBLON,47.0
CALIFORNIA,47.0
PRESENTE,47.0
GLOBAL,47.0
SITUACOES,47.0
FLEXIBILIZACAO,47.0
AEDES,47.0
CLINICAS,47.0
DIZENDO,47.0
CENTRAL,47.0
NAVALNY,47.0
ANTONIO,47.0
FAMILIAS,47.0
CONTINUAM,47.0
PRIVADA,47.0
JOGADORES,47.0
PRIMEIRAS,47.0
QUESTOES,47.0
ORGAOS,47.0
REINFECCAO,47.0
CRESCIMENTO,47.0
INICIATIVA,47.0
BASTANTE,47.0
ONIBUS,46.0
COORDENADOR,46.0
ABORTO,46.0
FUNCIONAR,46.0
TRABALHAVA,46.0
DESENVOLVER,46.0
VIU,46.0
ALVO,46.0
PARTICIPANTES,46.0
ALERTAM,46.0
ACOMPANHA,46.0
BEBE,46.0
CONTRIBUINTE,46.0
VAGAS,46.0
MEIA,46.0
EUROPA,46.0
OURO,46.0
COMECA,46.0
ENERGIA,46.0
TERCEIRA,46.0
COPACABANA,46.0
PARTICIPACAO,46.0
SABIA,46.0
MESAS,46.0
SABEMOS,46.0
VEIO,46.0
PLATAFORMA,46.0
BANCO,45.0
PROTOCOLO,45.0
MORTALIDADE,45.0
GOVERNOS,45.0
REMEDIOS,45.0
LEVES,45.0
FUX,45.0
ANA,45.0
CONCLUSAO,45.0
HISTORICO,45.0
SALA,45.0
TRAZ,45.0
LEGAL,45.0
CONFINAMENTO,45.0
PRECISOU,45.0
DUVIDAS,45.0
DISSERAM,45.0
PROCURAR,45.0
INSTITUICAO,45.0
NORMAS,45.0
FATOR,45.0
RODRIGO,45.0
RESPIRATORIOS,45.0
CONFIRMOU,45.0
MAR,45.0
CINEMAS,45.0
FICARAM,45.0
QUERIA,44.0
MOSQUITO,44.0
POSSA,44.0
TRABALHANDO,44.0
INFORMA,44.0
DISCURSO,44.0
COLEGIO,44.0
CRITICA,44.0
NARIZ,44.0
CIENTIFICO,44.0
LEVE,44.0
SAIU,44.0
MOSTRAR,44.0
DEUS,44.0
MILITAR,44.0
PICO,44.0
SI,44.0
USA,44.0
PASSAGEIROS,44.0
CLINICO,44.0
PARQUES,44.0
SUCESSO,44.0
EXECUTIVO,44.0
SOL,44.0
NORMALMENTE,44.0
AUXILIO,44.0
RECORDE,44.0
POSSAM,44.0
DORES,44.0
OBITO,44.0
RESPONSAVEIS,44.0
CIRCULAM,43.0
RECENTEMENTE,43.0
OCASIAO,43.0
TORNOU,43.0
METRO,43.0
DIVERSOS,43.0
IDEAL,43.0
OCORRER,43.0
ESTIVER,43.0
FICAM,43.0
SENSACAO,43.0
VIDEOS,43.0
MENORES,43.0
MOSTRAM,43.0
INFANTIL,43.0
LIDER,43.0
PESQUISADOR,43.0
DEBATE,43.0
MUDAR,43.0
EDICAO,43.0
MINISTROS,43.0
FALANDO,43.0
PORTANTO,43.0
FERREIRA,43.0
ENTIDADE,43.0
ANIMAIS,42.0
COMPLICACOES,42.0
DECADAS,42.0
MILITARES,42.0
ABRIR,42.0
DEMANDA,42.0
METROPOLITANA,42.0
SIGNIFICA,42.0
LEMBRAR,42.0
BOTAFOGO,42.0
CEDO,42.0
PROVAVELMENTE,42.0
MATA,42.0
TRANSITO,42.0
IMUNIZANTE,42.0
DEVERIA,42.0
ESTRUTURA,42.0
MAIA,42.0
PROCURA,42.0
PANICO,42.0
AMOSTRAS,42.0
INDICE,42.0
AUTORES,42.0
DEPUTADA,42.0
SEGURA,42.0
TIPOS,42.0
PARTICIPOU,41.0
DOSE,41.0
FAMILY,41.0
AVO,41.0
PERICIA,41.0
MEDIO,41.0
VIVE,41.0
ORGANISMO,41.0
NIVEIS,41.0
CORTE,41.0
QUEREM,41.0
PUBLICADA,41.0
PERTO,41.0
MUNICIPAIS,41.0
NECESSARIOS,41.0
PROJETOS,41.0
CONSEGUIU,41.0
TEREM,41.0
POSSIVEIS,41.0
GOTICULAS,41.0
VIVO,40.0
FRANGO,40.0
DORIA,40.0
PRONTO,40.0
MORA,40.0
ADMINISTRACAO,40.0
NEGRO,40.0
AMBIENTES,40.0
TEMPORADA,40.0
OCORRE,40.0
TERRA,40.0
SEGURO,40.0
DURA,40.0
PRISAO,40.0
AND,40.0
DONA,40.0
EXPOSICAO,40.0
CHAMA,40.0
CONVERSA,40.0
OF,40.0
US,40.0
COMPARACAO,40.0
SINDICATO,40.0
NOVAMENTE,40.0
FEITOS,40.0
TRABALHA,40.0
EFICAZ,40.0
PRODUTO,40.0
QUARTO,40.0
SUICIDIO,40.0
SERIF,40.0
MEDICAS,40.0
DIAGNOSTICADO,40.0
BR,40.0
PEDE,40.0
COMBATER,40.0
ITALIA,40.0
GUIA,40.0
FAZIA,39.0
CAXIAS,39.0
OPCAO,39.0
ESTEJA,39.0
REGIONAL,39.0
IN,39.0
REMEDIO,39.0
PUBLICOU,39.0
MANTEM,39.0
INICIALMENTE,39.0
EMPRESARIO,39.0
CARGA,39.0
CAUSADA,39.0
SHOW,39.0
PROPAGACAO,39.0
CERTEZA,39.0
FECHAMENTO,39.0
PE,39.0
DOCUMENTOS,39.0
EMERGENCIAL,39.0
ESPERAR,39.0
POTENCIAL,39.0
PERGUNTAS,39.0
HUMANO,39.0
CHANCES,39.0
LATINA,39.0
AMOR,39.0
DADO,39.0
WILSON,39.0
ACOMPANHAR,39.0
SIMPLES,39.0
MOVEL,39.0
EDMAR,39.0
PARECER,39.0
MARCA,39.0
OFERECE,39.0
PSICOLOGA,39.0
ABERTURA,39.0
DEMOCRACIA,38.0
AGENDAMENTO,38.0
PRIORIDADE,38.0
AUMENTOU,38.0
TECIDO,38.0
RESTRICOES,38.0
CONGRESSO,38.0
ALI,38.0
FIZ,38.0
OBRAS,38.0
PREVENIR,38.0
MULTA,38.0
SALAS,38.0
CARTA,38.0
NESSES,38.0
VICE,38.0
MORADOR,38.0
POSSO,38.0
CAIXA,38.0
PARTO,38.0
UPA,38.0
REGISTROS,38.0
CRIAR,38.0
IMPORTANTES,38.0
RESPOSTAS,38.0
DEFENDE,38.0
INGRESSOS,38.0
PEGAR,38.0
MINIMO,38.0
RELACOES,38.0
HELVETICA,38.0
SANS,38.0
ESTADUAIS,38.0
ARIAL,38.0
ATUACAO,38.0
TERCEIRO,38.0
PROCESSOS,38.0
QUERO,37.0
CLUBE,37.0
PRESIDENCIA,37.0
F,37.0
FRANCISCO,37.0
PREVISTO,37.0
ORDEM,37.0
SOMOS,37.0
ESSENCIAIS,37.0
CONTAS,37.0
TIRAR,37.0
JORGE,37.0
AGUDA,37.0
AMEACA,37.0
BRUNO,37.0
CARREIRA,37.0
ACREDITA,37.0
RACISMO,37.0
METROS,37.0
PERMITE,37.0
DESAFIOS,37.0
PESO,37.0
DESSAS,37.0
URGENCIA,37.0
APRESENTA,37.0
CAIU,37.0
INFECTADAS,37.0
CEM,37.0
INDIVIDUAL,37.0
GRAVIDADE,37.0
JARDIM,37.0
ESQUEMA,37.0
CULTURA,37.0
MATO,36.0
ESPETACULO,36.0
ATO,36.0
FOGO,36.0
PSICOLOGO,36.0
MHAB,36.0
TOTALMENTE,36.0
LHE,36.0
CURSO,36.0
ACONTECENDO,36.0
SUFICIENTE,36.0
AGRAVAMENTO,36.0
CASTRO,36.0
PEQUENO,36.0
HIGIENE,36.0
PDT,36.0
CAPAZ,36.0
OPERACIONAL,36.0
JUSTAMENTE,36.0
GERACAO,36.0
RELATOS,36.0
PAULISTA,36.0
RODRIGUES,36.0
CONDICAO,36.0
BEBIDAS,36.0
QUADROS,36.0
HAJA,36.0
CONFIRMADA,36.0
TORNA,36.0
SENTE,36.0
RELACIONADOS,36.0
AMBOS,36.0
PERDER,36.0
TELA,36.0
INCLUI,36.0
ALIMENTACAO,36.0
SOFRE,36.0
RESPIRATORIAS,36.0
SERIAM,36.0
CONSULTAS,35.0
BOAS,35.0
SOFREU,35.0
MUSEU,35.0
CARROS,35.0
PARTICULAS,35.0
FLORDELIS,35.0
PROCEDIMENTOS,35.0
TESTAR,35.0
MANAUS,35.0
ATENDIMENTOS,35.0
CORRUPCAO,35.0
USANDO,35.0
RICARDO,35.0
POSSE,35.0
IMPEDIR,35.0
DIRETRIZ,35.0
PELE,35.0
CULTURAIS,35.0
REGISTRADO,35.0
MP,35.0
REGISTRA,35.0
CRIACAO,35.0
CONSUMO,35.0
MATOU,35.0
ATRIZ,35.0
FACEBOOK,35.0
LOTE,35.0
DEFICIENCIA,35.0
PLASMA,35.0
FACIL,35.0
DENUNCIAS,35.0
FACULDADE,35.0
TRISTEZA,35.0
SEX,35.0
AMERICANOS,35.0
FILAS,35.0
INTERNACOES,35.0
CULTURAL,35.0
POLICIAL,35.0
GOIAS,35.0
ITENS,35.0
SURTOS,35.0
ENTREGA,35.0
SEGUINDO,35.0
RECUPERACAO,35.0
PARRERITO,34.0
INDIVIDUOS,34.0
PRODUZIR,34.0
CONSEQUENCIAS,34.0
VULNERAVEIS,34.0
FAIXA,34.0
